service_id,date,exception_type
AN31,20221231,1
D,20230326,2
D,20230407,1
D,20230421,1
D,20230501,1
D_CP,20230326,1
S,20221231,2
S,20230325,2
S,20230406,1
S_CP,20230325,1
U,20230328,2
U,20230407,2
U,20230406,2
U,20230421,2
U,20230501,2
U_CP,20230328,1
D,20231231,1
D,20231225,1
D,20230423,1
D,20230222,1
D,20230221,1
D,20231120,1
D,20230120,1
D,20230220,1
D,20231115,1
D,20231012,1
D,20230409,1
D,20230608,1
D,20230907,1
D,20231102,1
D,20230101,1
U,20231231,2
U,20231225,2
U,20230423,2
U,20230222,2
U,20230221,2
U,20231120,2
U,20230120,2
U,20230220,2
U,20231115,2
U,20231012,2
U,20230409,2
U,20230608,2
U,20230907,2
U,20231102,2
U,20230101,2
