route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
O0866AAV0A,22005,SV866,Cinco Marias - Campo Grande,"",700,E31919,ffffff
h5vh,22004,LECD52,Cascadura - Coelho Neto,785,700,0C6FA8,000000
O0915AAA0A,22003,915,Bonsucesso - Aeroporto Internacional,"",700,A2B71A,000000
30j5,22004,SV692,Méier - Terminal Alvorada,"",700,0C6FA8,000000
m9t5,22002,LECD54,Urca - Copacabana,519,700,FCC417,000000
krji,22002,LECD55,Urca - Botafogo,518,700,FCC417,000000
ctbr,22004,LECD56,Praça Seca - Madureira,702,700,0C6FA8,000000
O0550FLA0A,22004,SPB550,Tijuquinha - Gávea,"",700,0C6FA8,000000
E2018AAA0A,22004,2018,Aeroporto Internacional - Terminal Alvorada,"",200,030478,ffffff
goy7,22002,LECD53,Rodoviária - Castelo,012,700,FCC417,000000
O0601AAP0A,22004,SP601,Santa Maria - Hospital Cardoso Fontes,"",700,0C6FA8,000000
O0636AAA0A,22004,636,Merck - Saens Peña,"",700,0C6FA8,000000
O0803AAP0A,22005,SP803,Senador Camará - Terminal Sulacap,"",700,E31919,ffffff
O0955AAA0A,22004,955,Maré - Terminal Alvorada,"",700,0C6FA8,000000
O0805AAA0A,22004,805,Terminal Alvorada - Jardim Oceânico,"",700,0C6FA8,000000
O0753AAA0A,22005,LECD59,Santa Cruz - Coelho Neto,753,700,E31919,ffffff
O0885AAA0A,22005,885,Santa Cruz - Mato Alto,"",700,E31919,ffffff
O0497AAA0A,22003,497,Penha - Largo do Machado,"",700,A2B71A,000000
757,22005,LECD60,Sepetiba - Coelho Neto,757,700,E31919,ffffff
mc70,22004,LECD58,Rio das Pedras - Riocentro,961,700,0C6FA8,000000
4e71,22003,SV335,Cordovil - Tiradentes,"",700,A2B71A,000000
O0852AAP0A,22005,SP852,Campo Grande - Pedra de Guaratiba,"",700,E31919,ffffff
o1jo,22004,SV831,Colônia - Taquara,"",700,0C6FA8,000000
O0752AAA0A,22005,752,Conjunto dos Palmares - Coelho Neto,"",700,E31919,ffffff
O0301AAA0A,22004,301,Rodoviária - Barra da Tijuca,"",700,0C6FA8,000000
E2343AAA0A,22003,2343,Ribeira - Castelo,"",200,030478,ffffff
E2305AAA0A,22003,2305,Jardim América - Castelo,"",200,030478,ffffff
E2342AAA0A,22003,2342,Bananal - Castelo,"",200,030478,ffffff
E2344AAA0A,22003,2344,Bancários - Castelo,"",200,030478,ffffff
O0254AAA0A,22003,254,Madureira - Candelária,"",700,A2B71A,000000
O0232AAA0A,22003,232,Lins - Castelo,"",700,A2B71A,000000
O0238AAA0A,22003,238,Água Santa - Castelo,"",700,A2B71A,000000
O0239AAA0A,22003,239,Água Santa - Castelo,"",700,A2B71A,000000
O0247AAA0A,22003,247,Camarista Méier - Passeio,"",700,A2B71A,000000
O0249AAA0A,22003,249,Água Santa - Carioca,"",700,A2B71A,000000
O0265AAA0A,22003,265,Marechal Hermes - Castelo,"",700,A2B71A,000000
O0265AAP0A,22003,SP265,Marechal Hermes - São Cristóvão,"",700,A2B71A,000000
O0277AAA0A,22003,277,Rocha Miranda - Candelária,"",700,A2B71A,000000
O0292AAA0A,22003,292,Engenho da Rainha - Castelo,"",700,A2B71A,000000
O0296AAA0A,22003,296,Irajá - Castelo,"",700,A2B71A,000000
O0298AAA0A,22003,298,Acari - Castelo,"",700,A2B71A,000000
O0311AAA0A,22003,311,Engenheiro Leal - Candelária,"",700,A2B71A,000000
O0312AAA0A,22003,312,Olaria - Candelária,"",700,A2B71A,000000
O0313AAA0A,22003,313,Penha (Grotão) - Praça Tiradentes,"",700,A2B71A,000000
O0321AAA0A,22003,321,Bancários - Castelo,"",700,A2B71A,000000
O0323AAA0A,22003,323,Bananal - Castelo,"",700,A2B71A,000000
O0324AAA0A,22003,324,Ribeira - Candelária,"",700,A2B71A,000000
O0325AAA0A,22003,325,Ribeira - Castelo,"",700,A2B71A,000000
O0326AAA0A,22003,326,Bancários - Candelária,"",700,A2B71A,000000
O0327AAA0A,22003,327,Ribeira - Castelo,"",700,A2B71A,000000
O0328AAA0A,22003,328,Bananal - Candelária,"",700,A2B71A,000000
O0329AAA0A,22003,329,Bancários - Candelária,"",700,A2B71A,000000
O0342AAA0A,22003,342,Jardim América - Castelo,"",700,A2B71A,000000
O0349AAA0A,22003,349,Rocha Miranda - Castelo,"",700,A2B71A,000000
O0350AAA0A,22003,350,Irajá - Passeio,"",700,A2B71A,000000
O0355AAA0A,22003,355,Madureira - Praça Tiradentes,"",700,A2B71A,000000
O0362AAA0A,22003,362,Honório Gurgel - Castelo,"",700,A2B71A,000000
O0378AAA0A,22003,378,Marechal Hermes - Castelo,"",700,A2B71A,000000
O0384AAA0A,22003,384,Pavuna - Passeio,"",700,A2B71A,000000
O0385AAA0A,22003,385,Village Pavuna - Passeio,"",700,A2B71A,000000
O0399AAA0A,22003,399,Pavuna - Passeio,"",700,A2B71A,000000
O0404AAP0A,22003,SP404,Caju - Leblon,"",700,A2B71A,000000
O0455AAA0A,22003,455,Méier - Copacabana,"",700,A2B71A,000000
O0457AAA0A,22003,457,Abolição - Copacabana,"",700,A2B71A,000000
O0483AAA0A,22003,483,Penha - General Osório,"",700,A2B71A,000000
O0484AAA0A,22003,484,Olaria - General Osório,"",700,A2B71A,000000
O0486AAA0A,22003,486,Fundão - General Osório,"",700,A2B71A,000000
O0492AAA0A,22003,492,Bancários - Prado Júnior,"",700,A2B71A,000000
O0386AAA0A,22003,386,Anchieta - Candelária,"",700,A2B71A,000000
O0606AAA0A,22003,606,Engenho de Dentro - Rodoviária,"",700,A2B71A,000000
O0606AAV0A,22003,SV606,Engenho de Dentro - Rodoviária,"",700,A2B71A,000000
O0616AAA0A,22003,616,Del Castilho - Fundão,"",700,A2B71A,000000
O0621AAA0A,22003,621,Penha - Saens Peña,"",700,A2B71A,000000
O0622AAA0A,22003,622,Penha - Saens Peña,"",700,A2B71A,000000
O0623AAA0A,22003,623,Penha - Saens Peña,"",700,A2B71A,000000
O0624AAA0A,22003,624,Mariópolis - Praça da Bandeira,"",700,A2B71A,000000
O0625AAA0A,22003,625,Olaria - Saens Peña,"",700,A2B71A,000000
O0627AAA0A,22003,627,Inhaúma - Saens Peña,"",700,A2B71A,000000
O0628AAA0A,22003,628,Penha - Nova América,"",700,A2B71A,000000
O0485AAP0A,22003,SP485,Cidade Nova - Fundão,"",700,A2B71A,000000
O0629AAA0A,22003,629,Irajá - Saens Peña,"",700,A2B71A,000000
O0630AAA0A,22003,630,Penha (IAPI) - Saens Peña,"",700,A2B71A,000000
O0634AAA0A,22003,634,Bananal - Saens Peña,"",700,A2B71A,000000
O0638AAA0A,22003,638,Marechal Hermes - Saens Peña,"",700,A2B71A,000000
O0639AAA0A,22003,639,Jardim América - Saens Peña,"",700,A2B71A,000000
O0650AAA0A,22003,650,Marechal Hermes - Engenho Novo,"",700,A2B71A,000000
O0663AAA0A,22003,663,Méier - Fundão,"",700,A2B71A,000000
O0665AAA0A,22003,665,Pavuna - Saens Peña,"",700,A2B71A,000000
O0665AAVAA,22003,SVA665,Pavuna - Saens Peña,"",700,A2B71A,000000
O0665AAVBA,22003,SVB665,Pavuna - Saens Peña,"",700,A2B71A,000000
O0669AAA0A,22003,669,Pavuna - Méier,"",700,A2B71A,000000
O0669AAV0A,22003,SV669,Pavuna - Méier,"",700,A2B71A,000000
O0679AAA0A,22003,679,Grotão - Méier,"",700,A2B71A,000000
O0680AAA0A,22003,680,Penha (IAPI) - Méier,"",700,A2B71A,000000
O0685AAA0A,22003,685,Irajá - Méier,"",700,A2B71A,000000
O0685AAVAA,22003,SVA685,Irajá - Méier,"",700,A2B71A,000000
O0685AAVBA,22003,SVB685,Irajá - Méier,"",700,A2B71A,000000
O0687AAA0A,22003,687,Pavuna - Méier,"",700,A2B71A,000000
O0688AAA0A,22003,688,Méier - Pavuna,"",700,A2B71A,000000
O0696AAA0A,22003,696,Méier - Praia do Dendê,"",700,A2B71A,000000
O0711AAA0A,22003,711,Rocha Miranda - Rio Comprido,"",700,A2B71A,000000
O0721AAA0A,22003,721,Vila Cruzeiro - Cascadura,"",700,A2B71A,000000
O0778AAA0A,22003,778,Pavuna - Cascadura,"",700,A2B71A,000000
O0779AAA0A,22003,779,Pavuna - Madureira,"",700,A2B71A,000000
O0779AAV0A,22003,SV779,Pavuna - Madureira,"",700,A2B71A,000000
O0793AAA0A,22003,793,Pavuna - Sulacap,"",700,A2B71A,000000
O0901AAA0A,22003,901,Bonsucesso - Bananal,"",700,A2B71A,000000
O0905AAA0A,22003,905,Bonsucesso - Irajá,"",700,A2B71A,000000
O0906AAA0A,22003,906,Jardim América - Caju,"",700,A2B71A,000000
O0908AAV0A,22003,SV908,Guadalupe - Bonsucesso,"",700,A2B71A,000000
O0910AAA0A,22003,910,Bananal - Irajá,"",700,A2B71A,000000
O0913AAA0A,22003,913,Del Castilho - Fundão,"",700,A2B71A,000000
O0917AAA0A,22003,917,Realengo - Bonsucesso,"",700,A2B71A,000000
O0919AAA0A,22003,919,Pavuna - Bonsucesso,"",700,A2B71A,000000
O0920AAA0A,22003,920,Pavuna - Bonsucesso,"",700,A2B71A,000000
O0922AAA0A,22003,922,Tubiacanga - RIOgaleão,"",700,A2B71A,000000
O0908AAA0A,22003,908,Bonsucesso - Guadalupe,"",700,A2B71A,000000
O0928AAA0A,22003,928,Marechal Hermes - Bonsucesso,"",700,A2B71A,000000
O0925AAA0A,22003,925,Aeroporto Internacional - Bancários,"",700,A2B71A,000000
O0945AAA0A,22003,945,Pavuna - Fundão,"",700,A2B71A,000000
O0946AAA0A,22003,946,Pavuna - Engenho da Rainha,"",700,A2B71A,000000
O0950AAA0A,22003,950,Vicente de Carvalho - Vista Alegre,"",700,A2B71A,000000
O0951AAA0A,22003,951,Vicente de Carvalho - Vista Alegre,"",700,A2B71A,000000
O0315AAA0A,22004,315,Central - Recreio dos Bandeirantes,"",700,0C6FA8,000000
O0306AAA0A,22004,306,Praça Seca - Castelo,"",700,0C6FA8,000000
O0338AAA0A,22004,338,Taquara - Candelária,"",700,0C6FA8,000000
O0341AAA0A,22004,341,Taquara - Candelária,"",700,0C6FA8,000000
O0343AAA0A,22004,343,Jardim Oceânico - Candelária,"",700,0C6FA8,000000
O0343AAP0A,22004,SP343,Rio das Pedras - Candelária,"",700,0C6FA8,000000
O0348AAA0A,22004,348,Riocentro - Candelária,"",700,0C6FA8,000000
O0353AAA0A,22004,353,Praça Seca - Rodoviária,"",700,0C6FA8,000000
O0363AAA0A,22004,363,Vila Valqueire - Candelária,"",700,0C6FA8,000000
O0363AAV0A,22004,SV363,Vila Valqueire - Candelária,"",700,0C6FA8,000000
O0368AAA0A,22004,368,Riocentro - Candelária,"",700,0C6FA8,000000
O0371AAA0A,22004,371,Praça Seca - Tiradentes,"",700,0C6FA8,000000
O0380AAA0A,22004,380,Curicica - Candelária,"",700,0C6FA8,000000
O0390AAA0A,22004,390,Curicica - Candelária,"",700,0C6FA8,000000
O0550AAA0A,22004,550,Cidade de Deus - Gávea,"",700,0C6FA8,000000
O0555AAA0A,22004,555,Rio das Pedras - Gávea,"",700,0C6FA8,000000
O0557AAA0A,22004,557,Rio das Pedras - Copacabana,"",700,0C6FA8,000000
O0565AAA0A,22004,565,Tanque - Gávea,"",700,0C6FA8,000000
O0600AAA0A,22004,600,Taquara - Saens Peña,"",700,0C6FA8,000000
O0361AAA0A,22004,361,Recreio dos Bandeirantes - Castelo,"",700,0C6FA8,000000
E2111AAA0A,22004,2111,Praça Seca - Castelo,"",200,030478,ffffff
E2110AAA0A,22004,2110,Gardênia Azul - Castelo,"",200,030478,ffffff
E2112AAA0A,22004,2112,Taquara - Castelo,"",200,030478,ffffff
E2114AAA0A,22004,2114,Freguesia - Castelo,"",200,030478,ffffff
E2345AAA0A,22004,2345,Vila Valqueire - Castelo,"",200,030478,ffffff
E2345AAVBA,22004,SVB2345,Vila Valqueire - Castelo,"",200,030478,ffffff
O0302AAA0A,22004,302,Rodoviária - Terminal Alvorada,"",700,0C6FA8,000000
O0309AAA0A,22004,309,Terminal Alvorada - Central,"",700,0C6FA8,000000
O0601AAA0A,22004,601,Saens Peña - Santa Maria,"",700,0C6FA8,000000
O0352AAA0A,22004,352,Riocentro - Candelária,via Autódromo,700,0C6FA8,000000
O0607AAA0A,22004,607,Cascadura - Rio Comprido,"",700,0C6FA8,000000
O0610AAA0A,22004,610,Del Castilho - Tanque,"",700,0C6FA8,000000
O0611AAA0A,22004,611,Camorim - Del Castilho,"",700,0C6FA8,000000
O0613AAA0A,22004,613,Vargem Grande - Del Castilho,"",700,0C6FA8,000000
O0613AAPAA,22004,SPA613,Riocentro - Del Castilho,"",700,0C6FA8,000000
O0844AAA0A,22004,844,Jardim Oceânico - Barrinha,"",700,0C6FA8,000000
O0651AAA0A,22004,651,Méier - Cascadura,"",700,0C6FA8,000000
O0652AAA0A,22004,652,Méier - Cascadura,"",700,0C6FA8,000000
O0678AAA0A,22004,678,Méier - Vila Valqueire,"",700,0C6FA8,000000
O0691AAA0A,22004,691,Méier - Cidade de Deus,"",700,0C6FA8,000000
O0709AAA0A,22004,709,Cascadura - Amarelinho,"",700,0C6FA8,000000
O0712AAA0A,22004,712,Cascadura - Irajá,"",700,0C6FA8,000000
O0766AAA0A,22004,766,Madureira - Freguesia,"",700,0C6FA8,000000
O0774AAA0A,22004,774,Madureira - Jardim América,"",700,0C6FA8,000000
O0774AAV0A,22004,SV774,Madureira - Jardim América,"",700,0C6FA8,000000
O0775AAA0A,22004,775,Jardim América - Madureira,"",700,0C6FA8,000000
O0783AAA0A,22004,783,Marechal Hermes - Praça Seca,"",700,0C6FA8,000000
O0810AAA0A,22004,810,Taquara - Pontal,"",700,0C6FA8,000000
O0810AAP0A,22004,SP810,Taquara - Vargem Grande,"",700,0C6FA8,000000
O0829AAA0A,22004,829,Gardênia Azul - Freguesia,"",700,0C6FA8,000000
O0831AAA0A,22004,831,Colônia - Taquara,"",700,0C6FA8,000000
O0859AAA0A,22004,859,Covanca - Largo do Tanque,"",700,0C6FA8,000000
O0861AAA0A,22004,861,Rio das Pedras - Curicica,"",700,0C6FA8,000000
O0865AAA0A,22004,865,Pau da Fome - Taquara,"",700,0C6FA8,000000
O0875AAA0A,22004,875,Tanque - Chácara,"",700,0C6FA8,000000
O0878AAA0A,22004,878,Tanque - Barra da Tijuca,"",700,0C6FA8,000000
O0878AAV0A,22004,SV878,Tanque - Barra da Tijuca,"",700,0C6FA8,000000
O0863AAA0A,22004,863,Rio das Pedras - Barra da Tijuca,"",700,0C6FA8,000000
O0862AAA0A,22004,862,Rio das Pedras - Barra da Tijuca,"",700,0C6FA8,000000
O0693AAA0A,22004,693,Méier - Terminal Alvorada,"",700,0C6FA8,000000
O0692AAA0A,22004,692,Méier - Terminal Alvorada,"",700,0C6FA8,000000
O0614AAA0A,22004,614,Del Castilho - Terminal Alvorada,"",700,0C6FA8,000000
O0880AAA0A,22004,880,Rio das Pedras - Terminal Alvorada,"",700,0C6FA8,000000
O0900AAA0A,22004,900,Merck - Downtown,"",700,0C6FA8,000000
O0932AAA0A,22004,932,Gardênia Azul - Tanque,"",700,0C6FA8,000000
O0940AAA0A,22004,940,Ramos (Praia) - Madureira,"",700,0C6FA8,000000
O0953AAA0A,22004,953,Tanque - Cidade de Deus,"",700,0C6FA8,000000
O0954AAA0A,22004,954,Taquara - Recreio dos Bandeirantes,"",700,0C6FA8,000000
O0300AAA0A,22005,300,Sulacap - Candelária,"",700,E31919,ffffff
O0369AAA0A,22005,369,Bangu - Candelária,"",700,E31919,ffffff
O0379AAA0A,22005,379,Catiri - Tiradentes,"",700,E31919,ffffff
O0383AAA0A,22005,383,Realengo - Praça da República,"",700,E31919,ffffff
O0388AAA0A,22005,388,Santa Cruz - Candelária,"",700,E31919,ffffff
O0389AAA0A,22005,389,Vila Aliança - Candelária,"",700,E31919,ffffff
O0393AAA0A,22005,393,Bangu - Candelária,"",700,E31919,ffffff
E2803AAA0A,22005,2803,Vila Kennedy - Barra da Tijuca,"",200,030478,ffffff
E2307AAA0A,22005,2307,Jardim 7 de Abril - Carioca,"",200,030478,ffffff
E2308AAA0A,22005,2308,Cosmos - Carioca,"",200,030478,ffffff
E2309AAA0A,22005,2309,Urucânia - Carioca,"",200,030478,ffffff
E2310AAA0A,22005,2310,Bangu - Candelária,"",200,030478,ffffff
E2332AAA0A,22005,2332,Campo Grande - Castelo,"",200,030478,ffffff
E2336AAA0A,22005,2336,Campo Grande - Castelo,"",200,030478,ffffff
E2303AAA0A,22005,2303,Cesarão - Carioca,"",200,030478,ffffff
E2334AAA0A,22005,2334,Campo Grande - Castelo,"",200,030478,ffffff
E2335AAA0A,22005,2335,Santa Cruz - Castelo,"",200,030478,ffffff
E2337AAA0A,22005,2337,Santa Cruz - Castelo,"",200,030478,ffffff
E2338AAA0A,22005,2338,Campo Grande - Castelo,"",200,030478,ffffff
E2339AAA0A,22005,2339,Campo Grande - Castelo,"",200,030478,ffffff
E2380AAA0A,22005,2380,Jardim Maravilha - Castelo,"",200,030478,ffffff
E2381AAA0A,22005,2381,Pedra de Guaratiba - Castelo,"",200,030478,ffffff
E2383AAA0A,22005,2383,Sepetiba - Carioca,"",200,030478,ffffff
E2801AAA0A,22005,2801,Campo Grande - Barra da Tijuca,"",200,030478,ffffff
E2802AAA0A,22005,2802,Santa Cruz - Barra da Tijuca,"",200,030478,ffffff
E2804AAA0A,22005,2804,Bangu - Barra da Tijuca,"",200,030478,ffffff
O0394AAV0A,22005,SV394,Vila Kennedy - Tiradentes,"",700,E31919,ffffff
O0395AAA0A,22005,395,Coqueiros - Tiradentes,"",700,E31919,ffffff
O0397AAA0A,22005,397,Campo Grande - Candelária,"",700,E31919,ffffff
O0731AAA0A,22005,731,Campo Grande - Marechal Hermes,"",700,E31919,ffffff
O0745AAA0A,22005,745,Bangu - Cascadura,"",700,E31919,ffffff
O0746AAA0A,22005,746,Jabour - Cascadura,"",700,E31919,ffffff
O0756AAA0A,22005,756,Santa Cruz - Coelho Neto,"",700,E31919,ffffff
O0759AAA0A,22005,759,Cesarão - Coelho Neto,"",700,E31919,ffffff
O0770AAA0A,22005,770,Campo Grande - Coelho Neto,"",700,E31919,ffffff
O0771AAA0A,22005,771,Campo Grande - Coelho Neto,"",700,E31919,ffffff
O0777AAV0A,22005,SV777,Padre Miguel - Madureira,"",700,E31919,ffffff
O0786AAA0A,22005,786,Campo Grande - Marechal Hermes,"",700,E31919,ffffff
O0790AAA0A,22005,790,Campo Grande - Cascadura,"",700,E31919,ffffff
O0790AAV0A,22005,SV790,Campo Grande - Cascadura,"",700,E31919,ffffff
O0794AAA0A,22005,794,Bangu - Cascadura,"",700,E31919,ffffff
O0801AAA0A,22005,801,Bangu - Taquara,"",700,E31919,ffffff
O0801AAP0A,22005,SP801,Bangu - Terminal Sulacap,"",700,E31919,ffffff
O0802AAA0A,22005,802,Bangu - Campo Grande,"",700,E31919,ffffff
O0803AAA0A,22005,803,Senador Camará - Taquara,"",700,E31919,ffffff
O0804AAA0A,22005,804,Largo do Aarão - Campo Grande,"",700,E31919,ffffff
O0809AAA0A,22005,809,Sagrado Coração - Santa Cruz,"",700,E31919,ffffff
O0812AAA0A,22005,812,Carobinha - Bangu,"",700,E31919,ffffff
O0819AAA0A,22005,819,Jardim Bangu - Bangu,"",700,E31919,ffffff
O0821AAA0A,22005,821,Campo Grande - Corcundinha,"",700,E31919,ffffff
O0822AAA0A,22005,822,Campo Grande - Corcundinha,"",700,E31919,ffffff
O0825AAA0A,22005,825,Campo Grande - Jesuítas,"",700,E31919,ffffff
O0830AAA0A,22005,830,Pedregoso - Campo Grande,"",700,E31919,ffffff
O0833AAA0A,22005,833,Conjunto Manguariba - Campo Grande,"",700,E31919,ffffff
O0741AAA0A,22005,741,Terminal Sulacap - Bangu,"",700,E31919,ffffff
O0743AAA0A,22005,743,Terminal Sulacap - Bangu,"",700,E31919,ffffff
O0834AAA0A,22005,834,Campo Grande - Alhambra,"",700,E31919,ffffff
O0835AAA0A,22005,835,Largo do Correia - Campo Grande,"",700,E31919,ffffff
O0836AAA0A,22005,836,Caboclos - Campo Grande,"",700,E31919,ffffff
O0837AAA0A,22005,837,Campo Grande - Conjunto da Marinha,"",700,E31919,ffffff
O0838AAA0A,22005,838,Jardim Maravilha - Campo Grande,"",700,E31919,ffffff
O0840AAA0A,22005,840,São Fernando - Campo Grande,"",700,E31919,ffffff
O0842AAA0A,22005,842,Paciência - Campo Grande,"",700,E31919,ffffff
O0845AAA0A,22005,845,Cantagalo - Campo Grande,"",700,E31919,ffffff
O0846AAA0A,22005,846,Rio da Prata - Campo Grande,"",700,E31919,ffffff
O0847AAA0A,22005,847,Rio da Prata - Campo Grande,"",700,E31919,ffffff
O0848AAA0A,22005,848,Bairro Monte Santo - Campo Grande,"",700,E31919,ffffff
O0849AAA0A,22005,849,Base Aérea de Santa Cruz - Campo Grande,"",700,E31919,ffffff
O0851AAA0A,22005,851,Campo Grande - Escola Amazonas,"",700,E31919,ffffff
O0852AAA0A,22005,852,Campo Grande - Pedra de Guaratiba,"",700,E31919,ffffff
O0864AAA0A,22005,864,Bangu - Campo Grande,"",700,E31919,ffffff
O0866AAA0A,22005,866,Campo Grande - Pedra de Guaratiba,"",700,E31919,ffffff
O0867AAA0A,22005,867,Barra de Guaratiba - Campo Grande,"",700,E31919,ffffff
O0868AAA0A,22005,868,Urucânia - Campo Grande,"",700,E31919,ffffff
O0869AAA0A,22005,869,Santa Margarida - Campo Grande,"",700,E31919,ffffff
O0870AAA0A,22005,870,Sepetiba - Santa Cruz,"",700,E31919,ffffff
O0883AAA0A,22005,883,Bangu - Estação Mato Alto,"",700,E31919,ffffff
O0884AAA0A,22005,884,Sepetiba - Campo Grande,"",700,E31919,ffffff
O0871AAA0A,22005,871,Terminal Pingo d'Água - Cesarão,"",700,E31919,ffffff
O0892AAA0A,22005,892,São Benedito - Santa Cruz,"",700,E31919,ffffff
O0893AAA0A,22005,893,Jardim Palmares - Campo Grande,"",700,E31919,ffffff
O0895AAA0A,22005,895,Serrinha - Campo Grande,"",700,E31919,ffffff
O0897AAA0A,22005,897,Paciência - Pingo D'Água,"",700,E31919,ffffff
